State_Name,Year,Month,Day_of_Week,Time_of_Day,Accident_Severity,Number_of_Vehicles_Involved,Vehicle_Type_Involved,Number_of_Casualties,Number_of_Fatalities,Weather_Conditions,Road_Type,Road_Condition,Lighting_Conditions,Traffic_Control_Presence,Speed_Limit ,Driver_Age,Driver_Gender,Driver_License_Status,Alcohol_Involvement,Accident_Location_Details,Age_group
Andhra Pradesh,2020,March,Sunday,06:45,Serious,4,Truck,5,2,Hazy,National Highway,Wet,Daylight,Signals,88,21,Male,Expired,No,Straight Road,21-30
Nagaland,2023,December,Monday,10:23,Fatal,3,Pedestrian,7,5,Foggy,Urban Road,Under Construction,Dawn,Police Checkpost,89,64,Male,Valid,No,Intersection,60-70
Arunachal Pradesh,2018,May,Monday,09:09,Fatal,1,Two-Wheeler,5,2,Clear,National Highway,Under Construction,Dusk,Police Checkpost,37,31,Male,Valid,Yes,Straight Road,30-50
Rajasthan,2018,September,Thursday,00:09,Minor,1,Two-Wheeler,2,2,Rainy,State Highway,Under Construction,Dusk,Signals,46,60,Male,Valid,Yes,Intersection,60-70
Meghalaya,2019,April,Wednesday,19:54,Minor,4,Bus,1,5,Rainy,State Highway,Damaged,Dusk,Signs,92,63,Female,Valid,No,Curve,60-70
Nagaland,2021,September,Friday,16:00,Fatal,5,Two-Wheeler,9,5,Stormy,National Highway,Wet,Daylight,Police Checkpost,41,68,Male,Valid,Yes,Intersection,60-70
Jharkhand,2019,June,Saturday,10:41,Fatal,4,Pedestrian,5,5,Hazy,Village Road,Dry,Dusk,Signs,72,47,Female,Valid,No,Curve,30-50
Jharkhand,2018,February,Wednesday,21:18,Minor,3,Pedestrian,1,1,Stormy,National Highway,Wet,Dawn,Signals,109,58,Male,Expired,Yes,Straight Road,50-60
Nagaland,2020,September,Friday,12:50,Fatal,1,Two-Wheeler,4,0,Clear,National Highway,Dry,Dawn,Signs,44,43,Female,Valid,Yes,Straight Road,30-50
Puducherry,2023,September,Friday,02:05,Minor,4,Pedestrian,5,2,Foggy,Village Road,Wet,Dawn,Police Checkpost,30,38,Male,Expired,No,Intersection,30-50
Delhi,2023,July,Tuesday,09:22,Fatal,4,Cycle,4,1,Foggy,State Highway,Wet,Daylight,Signs,100,33,Male,Expired,Yes,Straight Road,30-50
Sikkim,2020,October,Wednesday,11:59,Fatal,2,Truck,8,5,Foggy,State Highway,Dry,Daylight,Signals,32,26,Male,Valid,No,Bridge,21-30
Kerala,2022,October,Sunday,10:57,Minor,3,Cycle,2,2,Foggy,Urban Road,Under Construction,Dark,Signals,69,34,Female,Valid,Yes,Straight Road,30-50
Telangana,2018,October,Monday,10:13,Fatal,1,Two-Wheeler,1,3,Rainy,State Highway,Damaged,Dusk,Police Checkpost,84,70,Male,Valid,Yes,Bridge,71-80
Manipur,2023,December,Monday,08:06,Minor,4,Cycle,9,5,Foggy,State Highway,Wet,Dark,Signals,86,66,Female,Valid,Yes,Straight Road,60-70
Arunachal Pradesh,2020,March,Wednesday,17:30,Fatal,1,Auto-Rickshaw,8,4,Hazy,Village Road,Damaged,Dark,Police Checkpost,55,58,Male,Valid,No,Bridge,50-60
Haryana,2019,November,Saturday,23:41,Serious,2,Auto-Rickshaw,7,5,Clear,State Highway,Wet,Dawn,Signs,47,51,Male,Valid,Yes,Intersection,50-60
Tripura,2019,September,Sunday,18:10,Fatal,3,Car,10,2,Stormy,State Highway,Under Construction,Daylight,Signals,115,42,Male,Expired,Yes,Curve,30-50
Madhya Pradesh,2022,June,Wednesday,15:53,Fatal,5,Two-Wheeler,3,1,Clear,Village Road,Damaged,Dark,Signals,92,18,Female,Expired,Yes,Straight Road,18-21
Nagaland,2023,July,Saturday,02:34,Minor,4,Car,8,0,Rainy,Urban Road,Dry,Dawn,Police Checkpost,78,42,Male,Valid,Yes,Intersection,30-50
Telangana,2021,October,Saturday,06:59,Minor,4,Truck,2,3,Rainy,Urban Road,Wet,Dawn,Signals,60,46,Male,Expired,No,Bridge,30-50
Sikkim,2023,April,Sunday,23:32,Serious,3,Car,9,4,Hazy,State Highway,Under Construction,Dawn,Signals,118,27,Female,Valid,Yes,Bridge,21-30
Mizoram,2022,April,Wednesday,12:57,Fatal,1,Auto-Rickshaw,2,0,Clear,State Highway,Damaged,Dawn,Signals,54,19,Female,Expired,No,Curve,18-21
Maharashtra,2018,July,Saturday,08:57,Minor,3,Car,10,4,Stormy,National Highway,Damaged,Dawn,Signals,42,54,Female,Expired,No,Bridge,50-60
Nagaland,2022,September,Tuesday,22:21,Fatal,2,Truck,1,0,Clear,National Highway,Under Construction,Dusk,Police Checkpost,109,65,Male,Valid,Yes,Curve,60-70
Chandigarh,2018,June,Tuesday,11:30,Fatal,5,Cycle,3,2,Rainy,Urban Road,Damaged,Dawn,Police Checkpost,32,46,Female,Valid,Yes,Curve,30-50
Punjab,2019,November,Wednesday,09:56,Serious,5,Cycle,6,0,Foggy,State Highway,Under Construction,Dusk,Signs,97,45,Male,Valid,Yes,Intersection,30-50
Madhya Pradesh,2019,November,Thursday,10:00,Minor,1,Auto-Rickshaw,8,5,Hazy,Village Road,Dry,Dark,Police Checkpost,100,69,Female,Expired,Yes,Curve,60-70
Bihar,2023,November,Monday,14:02,Fatal,3,Cycle,3,2,Stormy,National Highway,Dry,Dark,Signs,104,45,Male,Valid,No,Straight Road,30-50
Sikkim,2020,March,Sunday,06:42,Minor,5,Two-Wheeler,4,2,Clear,Village Road,Dry,Dusk,Police Checkpost,50,45,Female,Valid,Yes,Bridge,30-50
Nagaland,2018,May,Saturday,02:24,Fatal,1,Auto-Rickshaw,7,4,Clear,Urban Road,Under Construction,Daylight,Police Checkpost,88,40,Female,Expired,No,Curve,30-50
Tripura,2023,January,Sunday,09:09,Minor,1,Cycle,9,2,Hazy,National Highway,Wet,Dusk,Signals,79,63,Male,Expired,Yes,Straight Road,60-70
Telangana,2022,May,Thursday,04:55,Minor,5,Two-Wheeler,7,0,Clear,Village Road,Damaged,Dark,Signs,64,22,Male,Valid,Yes,Bridge,21-30
Sikkim,2021,November,Thursday,00:26,Minor,5,Auto-Rickshaw,3,2,Clear,Urban Road,Damaged,Daylight,Police Checkpost,96,57,Female,Valid,Yes,Straight Road,50-60
Haryana,2023,July,Friday,17:35,Minor,5,Two-Wheeler,3,1,Rainy,Village Road,Wet,Dawn,Signs,45,29,Male,Expired,No,Intersection,21-30
Gujarat,2021,March,Sunday,19:43,Serious,2,Cycle,6,4,Rainy,National Highway,Under Construction,Daylight,Signals,52,44,Female,Valid,Yes,Straight Road,30-50
Sikkim,2022,October,Sunday,03:01,Fatal,2,Car,10,4,Stormy,Urban Road,Damaged,Daylight,Police Checkpost,107,46,Female,Expired,No,Intersection,30-50
Nagaland,2018,October,Saturday,14:07,Fatal,5,Truck,10,5,Rainy,Urban Road,Wet,Dark,Police Checkpost,62,25,Male,Valid,Yes,Intersection,21-30
Haryana,2023,September,Thursday,16:51,Fatal,1,Truck,8,0,Stormy,National Highway,Under Construction,Dawn,Police Checkpost,96,40,Female,Valid,No,Straight Road,30-50
Maharashtra,2023,March,Tuesday,11:29,Fatal,2,Bus,4,3,Stormy,State Highway,Under Construction,Daylight,Signs,30,22,Male,Expired,Yes,Curve,21-30
Sikkim,2021,November,Monday,05:22,Serious,2,Pedestrian,9,2,Hazy,National Highway,Wet,Dark,Signs,63,57,Female,Valid,Yes,Bridge,50-60
Kerala,2019,November,Friday,15:44,Minor,3,Cycle,5,0,Hazy,State Highway,Damaged,Dawn,Signals,47,55,Male,Expired,No,Bridge,50-60
Nagaland,2019,September,Sunday,10:32,Serious,2,Pedestrian,3,4,Hazy,Village Road,Under Construction,Dawn,Police Checkpost,86,48,Male,Valid,No,Straight Road,30-50
Mizoram,2021,August,Sunday,21:33,Minor,1,Cycle,3,0,Rainy,State Highway,Damaged,Dusk,Signals,86,70,Male,Expired,No,Curve,71-80
Haryana,2020,September,Friday,06:33,Minor,4,Auto-Rickshaw,6,1,Clear,Village Road,Wet,Daylight,Signals,56,43,Male,Expired,Yes,Intersection,30-50
Uttar Pradesh,2020,March,Friday,12:31,Minor,5,Cycle,0,2,Foggy,Village Road,Damaged,Dusk,Signals,108,33,Male,Expired,Yes,Straight Road,30-50
Bihar,2018,April,Thursday,20:43,Minor,5,Auto-Rickshaw,6,5,Clear,State Highway,Wet,Dark,Police Checkpost,55,47,Female,Valid,Yes,Intersection,30-50
Tamil Nadu,2021,May,Wednesday,21:47,Minor,4,Bus,4,1,Clear,National Highway,Damaged,Dawn,Signals,40,70,Female,Expired,No,Intersection,71-80
Goa,2020,November,Wednesday,17:25,Minor,1,Two-Wheeler,7,3,Stormy,State Highway,Under Construction,Dusk,Police Checkpost,55,36,Female,Valid,No,Intersection,30-50
Puducherry,2023,September,Thursday,05:38,Serious,1,Auto-Rickshaw,6,0,Rainy,State Highway,Damaged,Daylight,Signals,52,33,Male,Expired,Yes,Intersection,30-50
Tamil Nadu,2023,December,Monday,01:56,Fatal,1,Bus,3,5,Rainy,State Highway,Damaged,Dusk,Signals,87,28,Female,Expired,No,Intersection,21-30
Tamil Nadu,2023,September,Wednesday,00:21,Minor,5,Bus,4,3,Stormy,State Highway,Dry,Dark,Signals,62,55,Female,Valid,No,Intersection,50-60
Punjab,2021,April,Friday,15:48,Minor,4,Pedestrian,10,0,Rainy,National Highway,Damaged,Dusk,Signs,79,39,Female,Expired,No,Curve,30-50
Punjab,2019,May,Friday,19:05,Fatal,5,Two-Wheeler,6,5,Stormy,State Highway,Wet,Dawn,Signals,80,66,Female,Valid,Yes,Intersection,60-70
Himachal Pradesh,2020,May,Friday,18:56,Minor,5,Car,3,1,Hazy,State Highway,Wet,Dawn,Signals,33,68,Female,Valid,No,Intersection,60-70
Jammu and Kashmir,2018,May,Saturday,15:16,Serious,5,Two-Wheeler,10,3,Foggy,National Highway,Dry,Daylight,Police Checkpost,83,68,Female,Expired,No,Intersection,60-70
Delhi,2018,November,Wednesday,10:45,Serious,1,Truck,7,3,Stormy,Urban Road,Under Construction,Daylight,Signals,105,67,Female,Valid,Yes,Bridge,60-70
Puducherry,2020,February,Wednesday,18:48,Fatal,1,Car,10,0,Foggy,Urban Road,Wet,Dark,Police Checkpost,106,48,Female,Expired,Yes,Bridge,30-50
Karnataka,2019,July,Friday,22:19,Fatal,2,Truck,3,2,Foggy,National Highway,Under Construction,Daylight,Signals,72,28,Female,Valid,Yes,Bridge,21-30
Chhattisgarh,2022,October,Friday,00:30,Serious,5,Cycle,7,5,Foggy,National Highway,Under Construction,Dawn,Police Checkpost,55,63,Male,Expired,No,Curve,60-70
Haryana,2019,December,Sunday,23:51,Minor,2,Auto-Rickshaw,0,2,Rainy,Village Road,Dry,Dawn,Police Checkpost,53,25,Female,Valid,No,Curve,21-30
Haryana,2019,January,Friday,15:02,Minor,3,Two-Wheeler,2,1,Foggy,Village Road,Under Construction,Daylight,Signals,40,54,Male,Valid,Yes,Straight Road,50-60
Chandigarh,2022,March,Thursday,16:43,Fatal,2,Auto-Rickshaw,8,5,Clear,National Highway,Damaged,Dusk,Signs,95,64,Male,Expired,No,Straight Road,60-70
Rajasthan,2020,May,Monday,22:59,Fatal,1,Pedestrian,1,1,Clear,National Highway,Dry,Daylight,Signals,111,55,Female,Valid,Yes,Straight Road,50-60
Assam,2020,October,Monday,04:48,Minor,4,Cycle,9,1,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,113,47,Female,Valid,Yes,Bridge,30-50
Karnataka,2021,March,Wednesday,03:38,Minor,3,Car,7,4,Rainy,Village Road,Damaged,Dusk,Police Checkpost,86,48,Male,Expired,Yes,Bridge,30-50
Delhi,2018,November,Wednesday,09:22,Fatal,4,Cycle,9,4,Stormy,Village Road,Dry,Dawn,Signals,79,58,Male,Valid,Yes,Curve,50-60
Maharashtra,2018,November,Tuesday,00:40,Fatal,4,Auto-Rickshaw,4,0,Hazy,Village Road,Wet,Dusk,Police Checkpost,113,55,Female,Valid,Yes,Intersection,50-60
Uttarakhand,2018,October,Wednesday,23:54,Serious,5,Auto-Rickshaw,3,2,Rainy,Village Road,Dry,Daylight,Signals,62,51,Female,Expired,No,Straight Road,50-60
Himachal Pradesh,2023,October,Sunday,07:45,Minor,2,Auto-Rickshaw,6,3,Clear,State Highway,Wet,Dawn,Signals,39,23,Male,Valid,No,Intersection,21-30
Kerala,2021,February,Sunday,05:08,Fatal,1,Bus,4,0,Rainy,Village Road,Under Construction,Dawn,Signs,43,42,Female,Expired,No,Straight Road,30-50
Odisha,2022,June,Tuesday,22:37,Fatal,1,Truck,9,4,Rainy,Urban Road,Wet,Daylight,Police Checkpost,111,30,Female,Valid,No,Intersection,30-50
Nagaland,2021,September,Sunday,02:15,Fatal,2,Truck,8,0,Rainy,Urban Road,Dry,Dark,Signals,78,60,Male,Valid,Yes,Straight Road,60-70
Himachal Pradesh,2021,August,Monday,21:34,Serious,4,Bus,5,1,Stormy,State Highway,Damaged,Dark,Police Checkpost,91,69,Female,Expired,Yes,Curve,60-70
Goa,2023,October,Wednesday,19:24,Minor,1,Auto-Rickshaw,0,1,Stormy,State Highway,Under Construction,Dark,Police Checkpost,75,50,Female,Valid,Yes,Bridge,50-60
Tripura,2020,February,Friday,11:09,Fatal,2,Bus,3,2,Stormy,Village Road,Wet,Dusk,Signs,105,65,Male,Valid,No,Curve,60-70
Chandigarh,2021,June,Wednesday,17:17,Minor,4,Truck,1,5,Rainy,National Highway,Damaged,Dark,Signs,93,67,Male,Valid,No,Curve,60-70
Puducherry,2019,August,Friday,21:34,Serious,2,Car,9,1,Rainy,National Highway,Under Construction,Dawn,Police Checkpost,35,35,Female,Valid,No,Curve,30-50
Jharkhand,2023,November,Monday,19:39,Fatal,5,Car,2,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,90,35,Male,Valid,Yes,Intersection,30-50
Tamil Nadu,2022,September,Wednesday,15:18,Minor,3,Truck,0,5,Rainy,State Highway,Wet,Dark,Police Checkpost,110,52,Male,Valid,No,Bridge,50-60
Jharkhand,2020,April,Wednesday,09:34,Fatal,2,Car,10,3,Clear,State Highway,Dry,Dawn,Signs,95,63,Male,Valid,Yes,Curve,60-70
Maharashtra,2023,April,Sunday,08:15,Fatal,5,Two-Wheeler,8,5,Stormy,Village Road,Damaged,Dark,Signals,105,20,Female,Expired,Yes,Curve,18-21
Sikkim,2019,May,Sunday,21:07,Minor,3,Pedestrian,9,2,Hazy,Urban Road,Dry,Dusk,Police Checkpost,30,33,Female,Valid,No,Curve,30-50
Goa,2020,February,Monday,09:39,Serious,2,Auto-Rickshaw,9,4,Foggy,Urban Road,Under Construction,Dark,Signals,117,39,Male,Valid,Yes,Curve,30-50
Nagaland,2021,January,Monday,02:53,Minor,5,Cycle,5,3,Clear,State Highway,Wet,Daylight,Signals,115,19,Male,Expired,Yes,Intersection,18-21
Karnataka,2022,June,Friday,21:24,Minor,5,Cycle,7,0,Stormy,National Highway,Damaged,Dusk,Signals,53,21,Male,Expired,Yes,Straight Road,21-30
Himachal Pradesh,2020,May,Monday,08:26,Minor,1,Bus,4,2,Hazy,State Highway,Damaged,Dusk,Signals,88,45,Male,Valid,No,Straight Road,30-50
Telangana,2018,February,Monday,20:53,Fatal,3,Car,7,3,Stormy,State Highway,Under Construction,Daylight,Signs,63,43,Female,Expired,No,Straight Road,30-50
Kerala,2022,March,Wednesday,09:37,Fatal,4,Bus,5,1,Rainy,National Highway,Damaged,Dawn,Signs,46,38,Female,Expired,Yes,Intersection,30-50
Himachal Pradesh,2019,February,Tuesday,04:01,Minor,3,Truck,2,0,Rainy,National Highway,Wet,Dawn,Police Checkpost,79,34,Male,Valid,No,Bridge,30-50
Arunachal Pradesh,2021,September,Sunday,11:21,Fatal,3,Pedestrian,0,1,Clear,State Highway,Wet,Dark,Police Checkpost,112,32,Male,Valid,No,Bridge,30-50
Kerala,2023,March,Monday,02:43,Fatal,1,Bus,8,1,Clear,National Highway,Damaged,Daylight,Signals,105,38,Male,Valid,Yes,Bridge,30-50
Jharkhand,2021,February,Friday,06:55,Minor,4,Pedestrian,3,0,Hazy,National Highway,Dry,Dawn,Signals,63,47,Male,Expired,No,Bridge,30-50
Sikkim,2018,December,Friday,11:49,Fatal,4,Truck,7,5,Foggy,Urban Road,Under Construction,Daylight,Signals,117,60,Female,Expired,No,Straight Road,60-70
Maharashtra,2020,October,Thursday,20:01,Fatal,2,Auto-Rickshaw,8,5,Rainy,Urban Road,Under Construction,Dawn,Police Checkpost,45,53,Male,Expired,No,Intersection,50-60
Odisha,2018,October,Monday,16:24,Fatal,2,Auto-Rickshaw,0,0,Rainy,State Highway,Under Construction,Dusk,Signs,82,62,Male,Valid,Yes,Intersection,60-70
Chhattisgarh,2021,October,Sunday,18:38,Serious,1,Car,6,0,Foggy,Village Road,Under Construction,Dawn,Signs,105,18,Female,Valid,No,Curve,18-21
Goa,2020,April,Wednesday,20:41,Fatal,5,Truck,7,0,Foggy,National Highway,Dry,Dawn,Police Checkpost,62,47,Female,Expired,Yes,Bridge,30-50
Tamil Nadu,2022,November,Tuesday,04:04,Serious,1,Truck,0,0,Foggy,State Highway,Dry,Dawn,Police Checkpost,38,22,Male,Expired,Yes,Bridge,21-30
Andhra Pradesh,2018,May,Wednesday,02:35,Fatal,5,Auto-Rickshaw,0,2,Stormy,Urban Road,Under Construction,Dawn,Signs,101,66,Female,Valid,No,Straight Road,60-70
West Bengal,2021,April,Thursday,22:58,Serious,2,Pedestrian,6,2,Rainy,National Highway,Under Construction,Dark,Signs,94,48,Female,Expired,No,Bridge,30-50
Uttarakhand,2021,August,Monday,13:32,Fatal,3,Truck,7,1,Hazy,Village Road,Wet,Dusk,Signs,104,24,Female,Valid,No,Intersection,21-30
Karnataka,2019,July,Tuesday,05:40,Minor,5,Truck,5,0,Clear,Village Road,Damaged,Dark,Signs,52,36,Male,Expired,Yes,Straight Road,30-50
Odisha,2019,February,Sunday,07:43,Serious,3,Two-Wheeler,7,1,Foggy,State Highway,Under Construction,Dawn,Signs,85,29,Male,Expired,Yes,Intersection,21-30
Rajasthan,2021,January,Tuesday,16:38,Fatal,3,Truck,2,4,Hazy,Urban Road,Wet,Daylight,Signs,61,58,Female,Valid,No,Curve,50-60
Goa,2021,November,Tuesday,07:00,Fatal,3,Pedestrian,9,2,Hazy,State Highway,Dry,Dusk,Signals,53,35,Male,Valid,No,Intersection,30-50
Madhya Pradesh,2019,May,Sunday,17:41,Fatal,3,Pedestrian,6,0,Hazy,Urban Road,Under Construction,Dusk,Signs,53,21,Female,Valid,Yes,Bridge,21-30
West Bengal,2018,February,Wednesday,14:56,Fatal,2,Cycle,6,5,Rainy,Urban Road,Wet,Daylight,Police Checkpost,90,40,Female,Valid,Yes,Curve,30-50
Haryana,2018,February,Saturday,00:28,Serious,4,Car,10,1,Stormy,State Highway,Dry,Daylight,Police Checkpost,103,26,Male,Valid,Yes,Bridge,21-30
Nagaland,2021,December,Monday,06:37,Minor,2,Bus,2,4,Hazy,State Highway,Dry,Dark,Signals,40,66,Male,Expired,Yes,Straight Road,60-70
Gujarat,2021,September,Saturday,21:47,Fatal,1,Cycle,8,3,Stormy,State Highway,Dry,Daylight,Police Checkpost,109,43,Female,Valid,No,Straight Road,30-50
Jammu and Kashmir,2023,December,Tuesday,06:12,Serious,3,Cycle,1,2,Foggy,Urban Road,Damaged,Dusk,Signs,107,64,Male,Valid,No,Curve,60-70
Punjab,2019,December,Tuesday,10:39,Serious,2,Cycle,6,3,Rainy,National Highway,Dry,Dawn,Signs,89,43,Male,Valid,Yes,Bridge,30-50
Rajasthan,2019,December,Sunday,14:13,Fatal,2,Auto-Rickshaw,7,1,Hazy,National Highway,Damaged,Dusk,Signs,51,36,Female,Expired,Yes,Curve,30-50
West Bengal,2023,April,Monday,23:45,Serious,5,Auto-Rickshaw,8,3,Hazy,Urban Road,Wet,Dawn,Signs,112,28,Female,Valid,Yes,Curve,21-30
Uttar Pradesh,2018,June,Monday,05:40,Fatal,4,Bus,1,0,Foggy,Village Road,Wet,Dark,Signs,32,58,Male,Expired,No,Intersection,50-60
Odisha,2018,June,Tuesday,10:28,Fatal,3,Cycle,2,4,Clear,Village Road,Under Construction,Dusk,Signs,54,34,Male,Valid,Yes,Straight Road,30-50
Himachal Pradesh,2023,February,Friday,08:10,Serious,2,Auto-Rickshaw,1,3,Rainy,National Highway,Under Construction,Dark,Police Checkpost,115,69,Female,Valid,Yes,Bridge,60-70
Tripura,2021,August,Sunday,14:50,Serious,3,Truck,5,0,Clear,Village Road,Damaged,Dark,Signs,81,48,Male,Valid,No,Bridge,30-50
Jammu and Kashmir,2021,July,Saturday,17:21,Fatal,2,Pedestrian,2,2,Hazy,National Highway,Wet,Dusk,Signs,51,29,Female,Valid,No,Straight Road,21-30
Himachal Pradesh,2023,August,Thursday,15:14,Serious,2,Cycle,10,3,Rainy,Urban Road,Dry,Dark,Signals,96,47,Female,Valid,No,Curve,30-50
Telangana,2018,October,Sunday,04:55,Minor,3,Two-Wheeler,9,1,Foggy,National Highway,Wet,Dawn,Signals,106,63,Male,Expired,No,Intersection,60-70
Tripura,2022,October,Saturday,22:25,Minor,3,Car,10,4,Stormy,Urban Road,Dry,Dusk,Signs,105,38,Female,Expired,Yes,Intersection,30-50
Goa,2023,August,Wednesday,19:24,Fatal,5,Car,5,0,Clear,Urban Road,Wet,Dark,Police Checkpost,84,63,Female,Expired,Yes,Straight Road,60-70
Karnataka,2021,October,Saturday,11:32,Minor,3,Car,1,3,Foggy,State Highway,Wet,Dusk,Police Checkpost,57,60,Female,Expired,Yes,Straight Road,60-70
Arunachal Pradesh,2022,May,Monday,19:02,Minor,5,Auto-Rickshaw,8,4,Clear,State Highway,Wet,Dark,Police Checkpost,103,66,Male,Expired,No,Straight Road,60-70
Andhra Pradesh,2021,November,Friday,13:45,Serious,4,Auto-Rickshaw,9,5,Hazy,Urban Road,Wet,Dark,Police Checkpost,71,37,Female,Valid,Yes,Curve,30-50
Gujarat,2021,October,Thursday,18:39,Fatal,3,Bus,2,0,Foggy,Urban Road,Dry,Daylight,Police Checkpost,57,60,Male,Expired,Yes,Curve,60-70
Maharashtra,2019,January,Friday,14:28,Minor,3,Car,4,0,Rainy,Village Road,Wet,Dusk,Signals,39,23,Female,Expired,No,Intersection,21-30
Assam,2020,February,Monday,07:43,Serious,4,Two-Wheeler,10,5,Foggy,National Highway,Wet,Dusk,Signs,81,50,Male,Expired,No,Straight Road,50-60
Madhya Pradesh,2021,May,Monday,23:56,Fatal,3,Cycle,9,5,Rainy,Village Road,Wet,Dawn,Signals,104,22,Male,Expired,Yes,Bridge,21-30
Jharkhand,2023,September,Saturday,05:14,Fatal,2,Bus,5,0,Rainy,Village Road,Wet,Dark,Signs,75,41,Female,Expired,No,Straight Road,30-50
Manipur,2021,July,Tuesday,16:37,Minor,1,Cycle,10,2,Stormy,National Highway,Wet,Daylight,Signs,101,45,Male,Valid,Yes,Straight Road,30-50
Himachal Pradesh,2023,September,Sunday,19:16,Minor,2,Truck,9,5,Rainy,National Highway,Under Construction,Dusk,Police Checkpost,86,21,Female,Expired,Yes,Straight Road,21-30
Maharashtra,2020,June,Sunday,12:28,Fatal,4,Car,5,0,Clear,Village Road,Damaged,Dark,Police Checkpost,87,69,Female,Valid,Yes,Bridge,60-70
Bihar,2020,November,Monday,20:49,Fatal,2,Bus,3,2,Foggy,Village Road,Damaged,Daylight,Police Checkpost,106,52,Female,Expired,Yes,Bridge,50-60
Odisha,2018,December,Thursday,22:33,Minor,1,Bus,10,0,Stormy,State Highway,Wet,Daylight,Signs,51,59,Male,Valid,No,Curve,50-60
West Bengal,2018,April,Wednesday,20:59,Serious,4,Cycle,10,1,Foggy,State Highway,Damaged,Dawn,Signals,37,35,Female,Expired,No,Curve,30-50
Madhya Pradesh,2023,January,Thursday,23:47,Serious,2,Pedestrian,10,5,Foggy,State Highway,Under Construction,Daylight,Signals,35,21,Male,Valid,Yes,Intersection,21-30
Puducherry,2022,June,Saturday,23:43,Minor,5,Auto-Rickshaw,2,0,Clear,State Highway,Dry,Dark,Signals,78,58,Female,Valid,No,Straight Road,50-60
Sikkim,2018,June,Wednesday,16:31,Minor,3,Bus,4,1,Stormy,Urban Road,Damaged,Dawn,Signals,87,18,Male,Expired,Yes,Straight Road,18-21
Rajasthan,2018,February,Monday,07:01,Serious,1,Pedestrian,4,5,Hazy,Urban Road,Under Construction,Dark,Signals,73,23,Male,Expired,Yes,Curve,21-30
Haryana,2023,November,Friday,06:15,Minor,4,Bus,3,2,Stormy,Village Road,Wet,Dawn,Signals,64,31,Female,Expired,No,Curve,30-50
Uttar Pradesh,2021,August,Wednesday,09:03,Minor,3,Cycle,3,0,Clear,Village Road,Dry,Daylight,Signs,101,34,Female,Valid,No,Bridge,30-50
Haryana,2019,October,Monday,20:38,Serious,4,Cycle,0,1,Stormy,State Highway,Dry,Daylight,Signs,31,44,Female,Expired,Yes,Straight Road,30-50
Assam,2019,March,Friday,14:15,Serious,4,Cycle,9,5,Clear,Village Road,Wet,Dawn,Police Checkpost,107,26,Male,Valid,No,Intersection,21-30
Chandigarh,2020,January,Monday,12:52,Minor,5,Auto-Rickshaw,10,1,Stormy,State Highway,Damaged,Dusk,Signals,100,66,Female,Valid,No,Intersection,60-70
Karnataka,2022,December,Tuesday,08:14,Minor,1,Truck,3,2,Clear,Village Road,Dry,Daylight,Signs,109,23,Female,Expired,No,Curve,21-30
Haryana,2022,October,Monday,01:04,Serious,2,Truck,4,0,Stormy,Urban Road,Dry,Dusk,Police Checkpost,114,48,Male,Expired,No,Curve,30-50
Goa,2022,January,Saturday,16:05,Fatal,3,Auto-Rickshaw,8,5,Foggy,State Highway,Wet,Dusk,Signs,98,59,Female,Expired,No,Intersection,50-60
Manipur,2019,December,Wednesday,18:24,Minor,4,Car,9,2,Foggy,Urban Road,Wet,Dark,Police Checkpost,59,41,Female,Valid,No,Straight Road,30-50
Jammu and Kashmir,2022,November,Saturday,14:16,Fatal,1,Cycle,6,1,Hazy,Village Road,Wet,Dark,Signals,31,43,Male,Expired,No,Bridge,30-50
Mizoram,2023,April,Sunday,00:59,Fatal,3,Auto-Rickshaw,8,0,Clear,Urban Road,Damaged,Dusk,Signs,65,19,Female,Expired,Yes,Curve,18-21
Andhra Pradesh,2018,November,Monday,09:44,Fatal,1,Pedestrian,3,1,Hazy,Urban Road,Damaged,Dark,Signs,98,22,Female,Expired,No,Straight Road,21-30
Andhra Pradesh,2022,December,Friday,06:30,Serious,2,Bus,8,4,Rainy,National Highway,Dry,Dusk,Signals,59,56,Male,Expired,No,Curve,50-60
Delhi,2021,July,Friday,06:50,Serious,1,Truck,0,0,Hazy,Village Road,Wet,Dark,Signs,92,41,Male,Expired,No,Curve,30-50
Bihar,2022,January,Saturday,07:06,Fatal,1,Auto-Rickshaw,9,1,Foggy,Village Road,Damaged,Dark,Signals,32,69,Female,Expired,No,Curve,60-70
Kerala,2020,December,Sunday,14:53,Fatal,1,Bus,2,5,Hazy,State Highway,Damaged,Daylight,Police Checkpost,96,43,Male,Expired,No,Curve,30-50
Rajasthan,2021,June,Sunday,12:23,Minor,1,Auto-Rickshaw,2,1,Clear,State Highway,Under Construction,Dusk,Signs,80,34,Female,Expired,Yes,Intersection,30-50
Maharashtra,2021,July,Saturday,11:39,Minor,2,Cycle,0,4,Clear,Village Road,Under Construction,Dusk,Signs,101,36,Male,Valid,Yes,Straight Road,30-50
Karnataka,2023,March,Tuesday,14:07,Fatal,3,Car,4,0,Hazy,National Highway,Under Construction,Dusk,Signals,42,30,Male,Expired,Yes,Curve,30-50
Karnataka,2022,November,Tuesday,00:30,Minor,1,Bus,3,1,Hazy,Village Road,Damaged,Dark,Signs,31,57,Female,Valid,Yes,Straight Road,50-60
